iata,name,city,country,lat,lon,widebody_capable,slot_constrained,daily_slot_cap,curfew,timezone_offset_h
ORD,Chicago O Hare Intl,Chicago,US,41.9742,-87.9073,yes,no,40,no,-5.0
IAD,Washington Dulles Intl,Washington,US,38.9531,-77.4565,yes,no,30,no,-4.0
YYZ,Toronto Pearson Intl,Toronto,CA,43.6777,-79.6248,yes,no,36,no,-4.0
YVR,Vancouver Intl,Vancouver,CA,49.1967,-123.1815,yes,no,24,no,-7.0
MEL,Melbourne,Melbourne,AU,-37.6690,144.8410,yes,no,24,no,10.0
SYD,Sydney Kingsford Smith,Sydney,AU,-33.9399,151.1753,yes,yes,30,yes,10.0
NRT,Tokyo Narita,Tokyo,JP,35.7720,140.3929,yes,yes,30,yes,9.0
HND,Tokyo Haneda,Tokyo,JP,35.5494,139.7798,yes,yes,24,yes,9.0
ICN,Incheon Intl,Seoul,KR,37.4602,126.4407,yes,no,30,no,9.0
HKG,Hong Kong Intl,Hong Kong,HK,22.3080,113.9185,yes,yes,30,no,8.0
SIN,Singapore Changi,Singapore,SG,1.3644,103.9915,yes,yes,40,no,8.0
BKK,Suvarnabhumi,Bangkok,TH,13.6900,100.7501,yes,no,36,no,7.0
KUL,Kuala Lumpur Intl,Kuala Lumpur,MY,2.7456,101.7099,yes,no,24,no,8.0
DXB,Dubai Intl,Dubai,AE,25.2532,55.3657,yes,yes,60,no,4.0
AUH,Zayed Intl,Abu Dhabi,AE,24.4330,54.6511,yes,no,30,no,4.0
DOH,Hamad Intl,Doha,QA,25.2731,51.6081,yes,no,30,no,3.0
JED,King Abdulaziz Intl,Jeddah,SA,21.6796,39.1565,yes,no,24,no,3.0
RUH,King Khalid Intl,Riyadh,SA,24.9576,46.6988,yes,no,24,no,3.0
FRA,Frankfurt am Main,Frankfurt,DE,50.0379,8.5622,yes,yes,50,yes,2.0
MUC,Munich,Munich,DE,48.3537,11.7750,yes,yes,30,yes,2.0
CDG,Paris Charles de Gaulle,Paris,FR,49.0097,2.5479,yes,yes,45,no,2.0
AMS,Amsterdam Schiphol,Amsterdam,NL,52.3105,4.7683,yes,yes,40,yes,2.0
ZRH,Zurich,Zurich,CH,47.4647,8.5492,yes,yes,24,yes,2.0
CPH,Copenhagen Kastrup,Copenhagen,DK,55.6180,12.6508,yes,no,24,no,2.0
VIE,Vienna Intl,Vienna,AT,48.1103,16.5697,yes,no,24,yes,2.0
MXP,Milan Malpensa,Milan,IT,45.6306,8.7281,yes,no,24,no,2.0
TLV,Ben Gurion,Tel Aviv,IL,32.0114,34.8867,yes,no,18,no,3.0
CMB,Bandaranaike Intl,Colombo,LK,7.1808,79.8841,yes,no,24,no,5.5
KTM,Tribhuvan Intl,Kathmandu,NP,27.6966,85.3591,no,yes,18,yes,5.75
MLE,Velana Intl,Male,MV,4.1918,73.5291,yes,no,18,no,5.0
DAC,Hazrat Shahjalal Intl,Dhaka,BD,23.8433,90.3978,yes,no,18,no,6.0
