# Air India addressable O&D markets.
#
# base_daily_demand -- pax per day EACH WAY that Air India could reasonably capture
#   at a baseline schedule quality (see `frequency_ref` in cost_params.yaml). This is
#   a PUBLIC-DATA PROXY built from DGCA traffic statistics, published schedules and
#   market-share estimates. Replace with real PSS/GDS O&D booking data in Tier 2.
# avg_fare_usd -- blended one-way yield across cabins, net of taxes.
# business_mix -- share of demand that is time-sensitive (drives frequency elasticity).
# competition_index -- 0 (monopoly) to 1 (heavily contested).
# min_daily_freq -- strategic/regulatory floor the network must maintain.
# strategic -- flagship route the airline will hold regardless of marginal economics.
# interline_available -- STATED PLACEHOLDER, not a real partner agreement: flags
#   markets with no domestic feeder at any hub we control (see
#   anos.network.itinerary.build_connection_candidates), where a partner/codeshare
#   itinerary is the only plausible way to sell this O&D at all. Opt-in via
#   solve_network(enable_interline=True).
market_id,origin,destination,region,base_daily_demand,avg_fare_usd,business_mix,competition_index,min_daily_freq,max_daily_freq,seasonality_profile,strategic,interline_available
DEL-ORD,DEL,ORD,longhaul_americas,390,825,0.40,0.60,1,2,intl_summer,no,no
DEL-IAD,DEL,IAD,longhaul_americas,290,835,0.42,0.56,0,2,intl_summer,no,no
DEL-YYZ,DEL,YYZ,longhaul_americas,370,790,0.34,0.58,1,2,intl_summer,no,no
BOM-YYZ,BOM,YYZ,longhaul_americas,210,805,0.34,0.52,0,1,intl_summer,no,no
DEL-YVR,DEL,YVR,longhaul_americas,240,820,0.32,0.50,0,1,intl_summer,no,yes
DEL-SYD,DEL,SYD,longhaul_pacific,290,785,0.38,0.54,0,2,intl_winter,no,yes
DEL-MEL,DEL,MEL,longhaul_pacific,260,775,0.38,0.52,0,1,intl_winter,no,yes
DEL-NRT,DEL,NRT,longhaul_asia,230,700,0.52,0.54,0,1,intl_summer,no,no
DEL-HND,DEL,HND,longhaul_asia,190,730,0.56,0.52,0,1,intl_summer,no,no
DEL-ICN,DEL,ICN,longhaul_asia,180,650,0.50,0.48,0,1,intl_summer,no,no
DEL-HKG,DEL,HKG,regional_asia,270,470,0.52,0.58,0,2,intl_summer,no,no
DEL-SIN,DEL,SIN,regional_asia,610,395,0.50,0.72,1,3,regional_steady,no,no
BOM-SIN,BOM,SIN,regional_asia,420,375,0.52,0.70,1,2,regional_steady,no,no
BLR-SIN,BLR,SIN,regional_asia,450,360,0.54,0.68,1,2,regional_steady,no,no
MAA-SIN,MAA,SIN,regional_asia,400,350,0.50,0.66,1,2,regional_steady,no,no
DEL-BKK,DEL,BKK,regional_asia,480,300,0.32,0.74,1,3,leisure_winter,no,no
BOM-BKK,BOM,BKK,regional_asia,320,295,0.34,0.70,1,2,leisure_winter,no,no
DEL-KUL,DEL,KUL,regional_asia,220,320,0.40,0.62,0,1,regional_steady,no,no
DEL-DXB,DEL,DXB,gulf,1080,255,0.44,0.82,3,8,gulf_steady,no,no
BOM-DXB,BOM,DXB,gulf,1280,235,0.46,0.84,4,10,gulf_steady,no,no
COK-DXB,COK,DXB,gulf,760,225,0.28,0.76,2,6,gulf_steady,no,no
BLR-DXB,BLR,DXB,gulf,540,245,0.42,0.74,2,5,gulf_steady,no,no
MAA-DXB,MAA,DXB,gulf,430,240,0.38,0.72,1,4,gulf_steady,no,no
HYD-DXB,HYD,DXB,gulf,400,245,0.40,0.70,1,4,gulf_steady,no,no
DEL-AUH,DEL,AUH,gulf,360,250,0.42,0.68,1,3,gulf_steady,no,no
BOM-AUH,BOM,AUH,gulf,390,235,0.44,0.70,1,3,gulf_steady,no,no
DEL-DOH,DEL,DOH,gulf,340,255,0.44,0.72,1,3,gulf_steady,no,no
BOM-DOH,BOM,DOH,gulf,330,245,0.44,0.70,1,3,gulf_steady,no,no
COK-DOH,COK,DOH,gulf,380,230,0.26,0.68,1,3,gulf_steady,no,no
DEL-JED,DEL,JED,gulf,290,320,0.20,0.58,1,2,hajj_peak,no,no
BOM-JED,BOM,JED,gulf,260,310,0.20,0.56,0,2,hajj_peak,no,no
DEL-RUH,DEL,RUH,gulf,230,300,0.38,0.56,0,2,gulf_steady,no,no
DEL-KTM,DEL,KTM,regional_saarc,290,175,0.36,0.64,1,3,leisure_summer,yes,no
DEL-CMB,DEL,CMB,regional_saarc,210,235,0.38,0.58,0,2,leisure_winter,no,no
BLR-CMB,BLR,CMB,regional_saarc,160,205,0.40,0.52,0,1,leisure_winter,no,no
MAA-CMB,MAA,CMB,regional_saarc,240,185,0.38,0.60,1,3,leisure_winter,no,no
DEL-DAC,DEL,DAC,regional_saarc,220,215,0.44,0.60,0,2,regional_steady,no,no
BLR-MLE,BLR,MLE,regional_saarc,150,255,0.16,0.54,0,1,leisure_winter,no,no
BOM-MLE,BOM,MLE,regional_saarc,170,265,0.16,0.56,0,1,leisure_winter,no,no
